n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
104,-9.8718,[-1.8407 2.4056 ],[-1.1512 1.4745 ],1.8707,[0.5781 -0.7405 ],0.9394,0.0099,0.0001
105,-9.8890,[-1.8521 2.4202 ],[-0.5681 0.7277 ],0.9232,[0.5681 -0.7277 ],0.9232,0.0099,0.0001
106,-9.8974,[-1.8577 2.4274 ],[-1.1215 1.4364 ],1.8224,[0.5632 -0.7213 ],0.9152,0.0099,0.0001
107,-9.9138,[-1.8688 2.4416 ],[-0.5535 0.7089 ],0.8994,[0.5535 -0.7089 ],0.8994,0.0099,0.0001
108,-9.9218,[-1.8743 2.4486 ],[-1.0926 1.3994 ],1.7754,[0.5487 -0.7027 ],0.8916,0.0099,0.0001
109,-9.9373,[-1.8851 2.4625 ],[-0.5392 0.6906 ],0.8761,[0.5392 -0.6906 ],0.8761,0.0099,0.0001
110,-9.9449,[-1.8904 2.4693 ],[-1.0644 1.3632 ],1.7296,[0.5345 -0.6846 ],0.8685,0.0099,0.0001
111,-9.9596,[-1.9010 2.4828 ],[-0.5253 0.6728 ],0.8535,[0.5253 -0.6728 ],0.8535,0.0099,0.0001
112,-9.9668,[-1.9062 2.4894 ],[-1.0369 1.3281 ],1.6849,[0.5207 -0.6669 ],0.8461,0.0099,0.0001
113,-9.9808,[-1.9164 2.5026 ],[-0.5117 0.6554 ],0.8315,[0.5117 -0.6554 ],0.8315,0.0099,0.0001
114,-9.9876,[-1.9215 2.5091 ],[-1.0102 1.2938 ],1.6414,[0.5073 -0.6497 ],0.8243,0.0099,0.0001
115,-10.0009,[-1.9315 2.5219 ],[-0.4985 0.6385 ],0.8100,[0.4985 -0.6385 ],0.8100,0.0099,0.0001
116,-10.0073,[-1.9364 2.5282 ],[-0.9841 1.2604 ],1.5991,[0.4942 -0.6329 ],0.8030,0.0099,0.0001
117,-10.0199,[-1.9462 2.5407 ],[-0.4856 0.6220 ],0.7891,[0.4856 -0.6220 ],0.7891,0.0099,0.0001
118,-10.0260,[-1.9510 2.5468 ],[-0.9587 1.2279 ],1.5578,[0.4814 -0.6166 ],0.7823,0.0099,0.0001
119,-10.0380,[-1.9605 2.5590 ],[-0.4731 0.6060 ],0.7688,[0.4731 -0.6060 ],0.7688,0.0099,0.0001
120,-10.0438,[-1.9651 2.5650 ],[-0.9339 1.1962 ],1.5176,[0.4690 -0.6007 ],0.7621,0.0099,0.0001
121,-10.0552,[-1.9744 2.5768 ],[-0.4609 0.5903 ],0.7489,[0.4609 -0.5903 ],0.7489,0.0099,0.0001
122,-10.0607,[-1.9790 2.5827 ],[-0.9098 1.1653 ],1.4784,[0.4569 -0.5852 ],0.7424,0.0099,0.0001
123,-10.0715,[-1.9880 2.5942 ],[-0.4490 0.5751 ],0.7296,[0.4490 -0.5751 ],0.7296,0.0099,0.0001
124,-10.0767,[-1.9924 2.5999 ],[-0.8864 1.1352 ],1.4403,[0.4451 -0.5701 ],0.7233,0.0099,0.0001
125,-10.0869,[-2.0012 2.6111 ],[-0.4374 0.5602 ],0.7108,[0.4374 -0.5602 ],0.7108,0.0099,0.0001
126,-10.0919,[-2.0055 2.6167 ],[-0.8635 1.1059 ],1.4031,[0.4336 -0.5554 ],0.7046,0.0099,0.0001
127,-10.1016,[-2.0140 2.6276 ],[-0.4261 0.5458 ],0.6924,[0.4261 -0.5458 ],0.6924,0.0099,0.0001
128,-10.1063,[-2.0183 2.6330 ],[-0.8412 1.0774 ],1.3669,[0.4224 -0.5410 ],0.6864,0.0099,0.0001
129,-10.1155,[-2.0266 2.6437 ],[-0.4151 0.5317 ],0.6746,[0.4151 -0.5317 ],0.6746,0.0099,0.0001
130,-10.1200,[-2.0307 2.6489 ],[-0.8195 1.0496 ],1.3316,[0.4115 -0.5271 ],0.6687,0.0099,0.0001
131,-10.1288,[-2.0388 2.6593 ],[-0.4044 0.5180 ],0.6572,[0.4044 -0.5180 ],0.6572,0.0099,0.0001
132,-10.1330,[-2.0428 2.6644 ],[-0.7983 1.0225 ],1.2973,[0.4009 -0.5135 ],0.6515,0.0099,0.0001
133,-10.1413,[-2.0507 2.6746 ],[-0.3940 0.5046 ],0.6402,[0.3940 -0.5046 ],0.6402,0.0099,0.0001
134,-10.1453,[-2.0546 2.6795 ],[-0.7777 0.9961 ],1.2638,[0.3906 -0.5002 ],0.6346,0.0099,0.0001
135,-10.1532,[-2.0623 2.6894 ],[-0.3838 0.4916 ],0.6237,[0.3838 -0.4916 ],0.6237,0.0099,0.0001
136,-10.1570,[-2.0661 2.6943 ],[-0.7577 0.9704 ],1.2312,[0.3805 -0.4873 ],0.6183,0.0099,0.0001
137,-10.1645,[-2.0736 2.7039 ],[-0.3739 0.4789 ],0.6076,[0.3739 -0.4789 ],0.6076,0.0099,0.0001
138,-10.1681,[-2.0773 2.7086 ],[-0.7381 0.9454 ],1.1994,[0.3707 -0.4747 ],0.6023,0.0099,0.0001
139,-10.1752,[-2.0846 2.7180 ],[-0.3643 0.4665 ],0.5919,[0.3643 -0.4665 ],0.5919,0.0099,0.0001
140,-10.1787,[-2.0882 2.7226 ],[-0.7191 0.9210 ],1.1684,[0.3611 -0.4625 ],0.5868,0.0099,0.0001
141,-10.1854,[-2.0953 2.7317 ],[-0.3549 0.4545 ],0.5766,[0.3549 -0.4545 ],0.5766,0.0099,0.0001
142,-10.1887,[-2.0988 2.7362 ],[-0.7005 0.8972 ],1.1383,[0.3518 -0.4506 ],0.5716,0.0099,0.0001
143,-10.1951,[-2.1058 2.7451 ],[-0.3457 0.4428 ],0.5617,[0.3457 -0.4428 ],0.5617,0.0099,0.0001
144,-10.1982,[-2.1092 2.7495 ],[-0.6824 0.8740 ],1.1089,[0.3427 -0.4389 ],0.5569,0.0099,0.0001
145,-10.2042,[-2.1159 2.7581 ],[-0.3368 0.4313 ],0.5472,[0.3368 -0.4313 ],0.5472,0.0099,0.0001
146,-10.2072,[-2.1193 2.7624 ],[-0.6648 0.8515 ],1.0803,[0.3339 -0.4276 ],0.5425,0.0099,0.0001
147,-10.2129,[-2.1258 2.7708 ],[-0.3281 0.4202 ],0.5331,[0.3281 -0.4202 ],0.5331,0.0099,0.0001
148,-10.2157,[-2.1291 2.7750 ],[-0.6477 0.8295 ],1.0524,[0.3252 -0.4166 ],0.5285,0.0099,0.0001
149,-10.2212,[-2.1355 2.7832 ],[-0.3196 0.4094 ],0.5194,[0.3196 -0.4094 ],0.5194,0.0099,0.0001
150,-10.2239,[-2.1387 2.7872 ],[-0.6309 0.8081 ],1.0252,[0.3168 -0.4058 ],0.5149,0.0099,0.0001
151,-10.2290,[-2.1449 2.7952 ],[-0.3114 0.3988 ],0.5060,[0.3114 -0.3988 ],0.5060,0.0099,0.0001
152,-10.2316,[-2.1480 2.7992 ],[-0.6147 0.7873 ],0.9988,[0.3087 -0.3953 ],0.5016,0.0099,0.0001
153,-10.2365,[-2.1541 2.8069 ],[-0.3033 0.3885 ],0.4929,[0.3033 -0.3885 ],0.4929,0.0099,0.0001
154,-10.2389,[-2.1571 2.8108 ],[-0.5988 0.7669 ],0.9730,[0.3007 -0.3851 ],0.4886,0.0099,0.0001
