n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
104,-185.7319,[9.0541 -9.1250 ],[3.5921 -3.6036 ],5.0881,[-0.8179 2.8239 ],2.9399,0.0077,127,0.0001
105,-185.8319,[9.0819 -9.1529 ],[0.7735 -2.7569 ],2.8633,[-0.7735 2.7569 ],2.8633,0.0077,127,0.0001
106,-185.8800,[9.0879 -9.1742 ],[3.4392 -3.4282 ],4.8561,[-2.6961 0.7796 ],2.8066,0.0077,127,0.0001
107,-185.9711,[9.1146 -9.2008 ],[2.6321 -0.7373 ],2.7334,[-2.6321 0.7373 ],2.7334,0.0077,127,0.0001
108,-186.0149,[9.1349 -9.2065 ],[3.2719 -3.2824 ],4.6346,[-0.7431 2.5741 ],2.6792,0.0077,127,0.0001
109,-186.0979,[9.1603 -9.2319 ],[0.7027 -2.5130 ],2.6094,[-0.7027 2.5130 ],2.6094,0.0077,127,0.0001
110,-186.1378,[9.1657 -9.2513 ],[3.1327 -3.1226 ],4.4232,[-2.4576 0.7083 ],2.5577,0.0077,127,0.0001
111,-186.2133,[9.1900 -9.2755 ],[2.3993 -0.6698 ],2.4910,[-2.3993 0.6698 ],2.4910,0.0077,127,0.0001
112,-186.2497,[9.2085 -9.2807 ],[2.9802 -2.9899 ],4.2215,[-0.6752 2.3464 ],2.4416,0.0077,127,0.0001
113,-186.3185,[9.2316 -9.3038 ],[0.6385 -2.2906 ],2.3780,[-0.6385 2.2906 ],2.3780,0.0077,127,0.0001
114,-186.3517,[9.2365 -9.3216 ],[2.8535 -2.8443 ],4.0290,[-2.2401 0.6437 ],2.3308,0.0077,127,0.0001
115,-186.4143,[9.2586 -9.3436 ],[2.1869 -0.6087 ],2.2700,[-2.1869 0.6087 ],2.2700,0.0077,127,0.0001
116,-186.4445,[9.2756 -9.3483 ],[2.7146 -2.7234 ],3.8452,[-0.6136 2.1387 ],2.2250,0.0077,127,0.0001
117,-186.5016,[9.2966 -9.3694 ],[0.5802 -2.0879 ],2.1670,[-0.5802 2.0879 ],2.1670,0.0077,127,0.0001
118,-186.5291,[9.3011 -9.3855 ],[2.5992 -2.5907 ],3.6699,[-2.0418 0.5850 ],2.1240,0.0077,127,0.0001
119,-186.5811,[9.3212 -9.4056 ],[1.9933 -0.5531 ],2.0686,[-1.9933 0.5531 ],2.0686,0.0077,127,0.0001
120,-186.6062,[9.3366 -9.4099 ],[2.4726 -2.4807 ],3.5025,[-0.5577 1.9493 ],2.0275,0.0077,127,0.0001
